Month,file,sum,mean,median,std,var,max,min,totalpix,nanpix,statipix,percent
Jan,S20030012003031.MON.chlor_a.csv,1304.04242539,29.6373278498,27.139529869,9.2525438601,85.6095678821,60.3289375305,20.0901529193,985680,510686,44,0.0092632749
Feb,S20030322003059.MON.chlor_a.csv,1494.38781212,27.170687493,27.121113658,5.0587597345,25.5910500513,42.3421418667,20.0777472734,985680,393647,55,0.0092900227
Mar,S20030602003090.MON.chlor_a.csv,925.648855207,26.4471101488,23.4118652542,9.9730263021,99.4612536215,64.4377593994,20.1532053709,985680,392534,35,0.0059007394
Apr,S20030912003120.MON.chlor_a.csv,1263.68903641,30.0878342003,24.7662410736,14.7564279706,217.752166452,79.2592163086,20.2072628566,985680,392653,42,0.0070823082
May,S20031212003151.MON.chlor_a.csv,2154.06825423,32.1502724512,30.0702286561,12.0723459785,145.741537424,85.0576248169,20.5234737396,985680,411907,67,0.0116770918
Jun,S20031522003181.MON.chlor_a.csv,1487.67530602,29.1701040396,23.4582576752,13.8674479824,192.306113544,93.276725769,20.2324581146,985680,414952,51,0.0089359555
Jul,S20031822003212.MON.chlor_a.csv,5258.59316721,34.3698899818,27.9982786179,16.8431875419,283.69296657,99.5339050293,20.0681569695,985680,463362,153,0.0292925
Aug,S20032132003243.MON.chlor_a.csv,8775.39855047,35.2425644597,28.570186615,15.4501384288,238.70677747,96.9158096313,20.0221144358,985680,393955,249,0.0420803583
Sep,S20032442003273.MON.chlor_a.csv,6249.2084527,29.4773983618,25.5407842517,11.9196937179,142.079098328,79.9346313477,20.0368881226,985680,389614,212,0.0355665312
Oct,S20032742003304.MON.chlor_a.csv,3039.23179934,32.6799118208,27.6806697845,15.1215723555,228.661950504,90.6375274658,20.0648803711,985680,387742,93,0.015553452
Nov,S20033052003334.MON.chlor_a.csv,3770.3757469,31.9523368381,25.8459434509,15.2952823791,233.945663056,85.957069397,20.0284055869,985680,387956,118,0.019741553
Dec,S20033352003365.MON.chlor_a.csv,1912.43071347,33.5514160258,27.174741745,16.9432399268,287.073379217,95.7752151489,20.1645127336,985680,433198,57,0.0103170782
Jan,S20040012004031.MON.chlor_a.csv,2001.93985493,34.5162043954,26.2672599455,16.1380508777,260.436686132,76.4833831787,20.0095666548,985680,429515,58,0.0104285599
Feb,S20040322004060.MON.chlor_a.csv,1584.85975795,24.763433718,22.4726563394,5.0136075224,25.1362603884,43.1564064026,20.0522753398,985680,394201,64,0.0108203334
Mar,S20040612004091.MON.chlor_a.csv,690.694383115,30.0301905702,27.8680460453,9.947785342,98.9584332112,59.1282501221,20.2235183716,985680,390783,23,0.0038662155
Apr,S20040922004121.MON.chlor_a.csv,2052.3284334,29.31897762,25.1687440872,12.3889493423,153.486065805,97.4702987671,20.0937993526,985680,389122,70,0.0117339806
May,S20041222004152.MON.chlor_a.csv,7617.42345212,29.0741353134,26.3950248162,9.5410915597,91.0324281496,89.2646102905,20.0395136327,985680,392314,262,0.0441548724
Jun,S20041532004182.MON.chlor_a.csv,15807.5676173,31.3642214629,27.7474902471,11.4005830334,129.973293501,92.8808670044,20.0033804576,985680,392459,504,0.0849599053
Jul,S20041832004213.MON.chlor_a.csv,19371.875277,37.9840691705,30.7552463412,19.0489156876,362.861188875,98.2258682251,20.0310277939,985680,393103,510,0.0860647646
Aug,S20042142004244.MON.chlor_a.csv,7306.60754394,30.7000316972,27.2406300306,10.9126350323,119.085603348,88.6967926025,20.0209205151,985680,390646,238,0.0399977144
Sep,S20042452004274.MON.chlor_a.csv,5591.67556775,31.9524318157,27.2882270813,14.872227753,221.183158336,96.1776580811,20.0017196536,985680,394864,175,0.0296200509
Oct,S20042752004305.MON.chlor_a.csv,3392.84199669,33.9284199669,24.4198641479,19.1310357822,365.996530099,93.7814483643,20.2276525497,985680,387722,100,0.0167235826
Nov,S20043062004335.MON.chlor_a.csv,2958.20832704,27.6468067948,24.8722457886,8.9145911153,79.469934753,67.2407302856,20.1365516484,985680,387973,107,0.0179017478
Dec,S20043362004366.MON.chlor_a.csv,5288.68517224,29.3815842902,25.1628408581,13.115424716,172.01436548,96.3672332764,20.0419387817,985680,425389,180,0.032126163
Jan,S20050012005031.MON.chlor_a.csv,2482.45528729,35.9776128593,27.2595539093,18.3325982287,336.084157815,87.6893157959,20.0112366279,985680,617035,69,0.018717194
Feb,S20050322005059.MON.chlor_a.csv,2230.49310658,28.2340899567,23.4678265452,11.8373307662,140.122399669,68.9825744629,20.4072603683,985680,660656,79,0.0243058974
Mar,S20050602005090.MON.chlor_a.csv,8899.6045765,32.36219846,26.4400882721,14.2054338841,201.794351835,85.4209365845,20.1165046692,985680,633610,275,0.0781094669
Apr,S20050912005120.MON.chlor_a.csv,4423.98771374,30.3012857106,26.4013603926,13.3108593563,177.178976804,84.7863845825,20.0395765305,985680,392407,146,0.024609244
May,S20051212005151.MON.chlor_a.csv,3376.81783688,27.014542695,23.0984262625,12.1932891732,148.676300861,80.4225082397,20.002573061,985680,398970,125,0.0213052445
Jun,S20051522005181.MON.chlor_a.csv,894.979194522,28.8702965975,22.0819549561,10.9090402766,119.007159756,64.078086853,20.0932326317,985680,672690,31,0.0099044698
Jul,S20051822005212.MON.chlor_a.csv,3826.81523748,33.8656215706,25.6056289673,18.415877546,339.144545788,97.2804718018,20.2662296295,985680,469933,113,0.0219099675
Aug,S20052132005243.MON.chlor_a.csv,7850.90098696,28.5487308617,25.3859386444,9.4984349106,90.2202657517,69.9899673462,20.0017967224,985680,394813,275,0.0465417767
Sep,S20052442005273.MON.chlor_a.csv,9473.10540942,32.0037344913,26.3489294052,15.4852324624,239.792424416,99.7157058716,20.0075511932,985680,397279,296,0.0503058288
Oct,S20052742005304.MON.chlor_a.csv,3342.62420046,27.1758065078,24.047669217,9.083732896,82.5142033263,73.3038635254,20.0267208644,985680,389116,123,0.0206180728
Nov,S20053052005334.MON.chlor_a.csv,10491.8373623,27.5376308722,24.4697437286,8.7586918485,76.7146828977,71.9108810425,20.0056124926,985680,424859,381,0.0679361151
Dec,S20053352005365.MON.chlor_a.csv,3597.54789406,29.9795657838,24.0902557373,14.9245777386,222.743020675,99.9407806396,20.0578395724,985680,623907,120,0.0331699712
Jan,S20060012006031.MON.chlor_a.csv,2848.38902623,32.7401037498,26.846157074,13.4502502408,180.909231541,92.6855316162,20.0652008057,985680,475538,87,0.0170540751
Feb,S20060322006059.MON.chlor_a.csv,1559.98987657,29.433771256,24.8352012634,13.2249090356,174.898218999,97.4656982422,20.056230545,985680,422794,53,0.0094157609
Mar,S20060602006090.MON.chlor_a.csv,5219.98535175,31.0713413794,25.9571712017,14.8395773391,220.213055602,97.7441101074,20.0330657005,985680,426096,168,0.0300223023
Apr,S20060912006120.MON.chlor_a.csv,2347.96199217,35.5751816996,28.3451271057,18.6480787134,347.750839702,98.3231964111,20.3232059479,985680,419836,66,0.0116639922
May,S20061212006151.MON.chlor_a.csv,4675.72541294,30.5602968166,25.7254905701,12.2876660439,150.986736805,90.3890762329,20.1443978945,985680,403933,153,0.0263000927
Jun,S20061522006181.MON.chlor_a.csv,1992.70717408,33.2117862347,24.0438871384,19.2405441009,370.198537298,99.7268753052,20.3445491791,985680,418525,60,0.0105791186
Jul,S20061822006212.MON.chlor_a.csv,2916.57966932,41.6654238474,32.8817157745,20.6554846953,426.649047997,92.4248657227,20.205783844,985680,681800,70,0.0230354087
Aug,S20062132006243.MON.chlor_a.csv,9322.38545654,32.0356888541,27.2075684865,13.1486597156,172.887252317,88.5700912476,20.0134010315,985680,392068,291,0.04902192
Sep,S20062442006273.MON.chlor_a.csv,5635.45157749,26.7083013151,24.4284055829,7.6539758361,58.5833460989,65.9273452759,20.0128827095,985680,388379,211,0.0353255729
Oct,S20062742006304.MON.chlor_a.csv,2313.30950424,29.2823987879,25.2485016957,11.7173884425,137.297191912,85.0446472168,20.04429245,985680,389034,79,0.0132406821
Nov,S20063052006334.MON.chlor_a.csv,8395.82965801,31.2112626692,25.8544998169,13.7398890519,188.784551158,97.2868270874,20.0750389099,985680,440252,269,0.0493190669
Dec,S20063352006365.MON.chlor_a.csv,3290.42617407,28.1233006331,25.5221841335,8.7548390182,76.6472062342,69.8962783813,20.0298290253,985680,486709,117,0.0234482565
